data_disponibilizacao;numero_processo;tribunal;tipo_extracao
2025-09-17;20005768320249130005;TJMMG;filtrado
2025-09-17;08012030720208180027;TJPI;geral
2025-09-17;00077828720234058500;TRF5;geral
2025-09-17;02240002120065110008;TRT11;geral
2025-09-17;00011416420155190005;TRT19;geral
2025-09-17;00249078620245240072;TRT24;geral
2025-09-17;60001289020248030009;TJAP;geral
2025-09-17;00007787820144036104;TRF3;geral
2025-09-17;00247801220215240022;TRT24;geral
2025-09-17;00004648220125090016;TRT9;geral
2025-09-17;60456004120248030001;TJAP;geral
2025-09-17;20000611720259130004;TJMMG;filtrado
2025-09-17;00004006520258160018;TJPR;geral
2025-09-17;00018687520165110016;TRT11;geral
2025-09-17;00009098720225200002;TRT20;geral
2025-09-17;00006891620135080107;TRT8;geral
2025-09-17;00112002719875090020;TRT9;geral
2025-09-17;00114716920258250000;TJSE;filtrado
2025-09-17;00102927220245150030;TRT15;geral
2025-09-17;00109370820255030027;TRT3;geral
2025-09-17;20002348120249130002;TJMMG;filtrado
2025-09-17;08195304420238180140;TJPI;geral
2025-09-17;00123784420258250000;TJSE;filtrado
2025-09-17;00183464220245160016;TRT16;geral
2025-09-17;00298008020015190003;TRT19;geral
2025-09-17;08009789720248100114;TJMA;geral
2025-09-17;60001198420258039001;TJAP;geral
2025-09-17;50304806220248080024;TJES;geral
2025-09-17;20014181220239130001;TJMMG;filtrado
2025-09-17;70025615920238220008;TJRO;geral
2025-09-17;00113564820258250000;TJSE;filtrado
2025-09-17;00011603720154036104;TRF3;geral
2025-09-17;00003206720175090652;TRT9;geral
2025-09-17;00011566120168180074;TJPI;geral
2025-09-17;08317662120258230010;TJRR;geral
2025-09-17;00123221120258250000;TJSE;filtrado
2025-09-17;00027645620115020045;TRT2;geral
2025-09-17;00007269520135200014;TRT20;geral
2025-09-17;00025362020252000814;PJeCor;geral
2025-09-17;07002384720238010008;TJAC;geral
2025-09-17;00132185420258250000;TJSE;filtrado
2025-09-17;20006288520249130003;TJMMG;filtrado
2025-09-17;08189129220248152001;TJPB;geral
2025-09-17;00111555620258250000;TJSE;filtrado
2025-09-17;00001752720215110551;TRT11;geral
2025-09-17;00248428220165240004;TRT24;geral
2025-09-17;00015259320125050531;TRT5;geral
2025-09-17;00001099620242000810;PJeCor;geral
2025-09-17;00093605720198190205;STJ;geral
2025-09-17;60133909720258030001;TJAP;geral
2025-09-17;00702930620249210003;TJMRS;filtrado
2025-09-17;00133310820258250000;TJSE;filtrado
2025-09-17;02051005820095110016;TRT11;geral
2025-09-17;01214003219945190003;TRT19;geral
2025-09-17;00036985020252000814;PJeCor;geral
2025-09-17;00231946620138110042;STJ;geral
2025-09-17;20014199420239130001;TJMMG;filtrado
2025-09-17;08106407220258152002;TJPB;geral
2025-09-17;00121211920258250000;TJSE;filtrado
2025-09-17;00017568920134036104;TRF3;geral
2025-09-17;08178375820258140401;TJPA;geral
2025-09-17;00039721420252000814;PJeCor;geral
2025-09-17;60435691420258030001;TJAP;geral
2025-09-17;10128384620238110041;TJMT;geral
2025-09-17;09274337220258190001;TJRJ;geral
2025-09-17;00125785120258250000;TJSE;filtrado
2025-09-17;00168769720245160008;TRT16;geral
2025-09-17;08275825120218100001;STJ;geral
2025-09-17;20000621420259130000;TJMMG;filtrado
2025-09-17;00102548820258250000;TJSE;filtrado
2025-09-17;00008227620235200009;TRT20;geral
2025-09-17;08006352120228180059;STJ;geral
2025-09-17;00101717220258250000;TJSE;filtrado
2025-09-17;00004856520198240074;STJ;geral
2025-09-17;02295111920208060001;TJCE;geral
2025-09-17;00900428120259210000;TJMRS;geral
2025-09-17;00150795120258172990;TJPE;geral
2025-09-17;00523750720208250001;TJSE;filtrado
2025-09-17;00032425620064036104;TRF3;geral
2025-09-17;10167202620178110041;TJMT;geral
2025-09-17;10042366820238110008;TJMT;geral
2025-09-17;50835083020238240930;STJ;geral
2025-09-17;60322461220258030001;TJAP;geral
2025-09-17;70038635520258220008;TJRO;geral
2025-09-17;00145546920248250084;TJSE;filtrado
2025-09-17;00008353320225200002;TRT20;geral
2025-09-17;00005758720255080000;TRT8;geral
2025-09-17;10136982820238110015;TJMT;geral
2025-09-17;60373369820258030001;TJAP;geral
2025-09-17;08013156020258150131;TJPB;geral
2025-09-17;00018719820168250045;TJSE;filtrado
2025-09-17;00036328920074036104;TRF3;geral
2025-09-17;00012949020245130024;TRT13;geral
2025-09-17;50001543120238080000;STJ;geral
2025-09-17;60435180320258030001;TJAP;geral
2025-09-17;08028510220218150211;TJPB;geral
2025-09-17;00714266220248250001;TJSE;filtrado
2025-09-17;00037590320024036104;TRF3;geral
2025-09-17;08169128320258140006;TJPA;geral
2025-09-17;00545649420168250001;TJSE;filtrado
2025-09-17;01902000220095070010;TRT7;geral
2025-09-17;00007556320225080015;TRT8;geral
2025-09-17;00030454820252000814;PJeCor;geral
2025-09-17;08174012320258140006;TJPA;geral
2025-09-17;00054724420238250053;TJSE;filtrado
