data_disponibilizacao;numero_processo;tribunal;tipo_extracao
2025-02-21;00517614220253000000;STJ;geral
2025-02-21;00018289620105200002;TRT20;filtrado
2025-02-21;00000679120235190005;TRT19;filtrado
2025-02-21;80050637820258050000;TJBA;geral
2025-02-21;08029137120238150211;TJPB;geral
2025-02-21;00048707620118200000;TJRN;geral
2025-02-21;00004447920225110018;TRT11;filtrado
2025-02-21;00000932020225050133;TRT5;geral
2025-02-21;08057697820218100029;TJMA;geral
2025-02-21;00012342220245210016;TRT21;geral
2025-02-21;00053239820218260050;STJ;geral
2025-02-21;00004144020245140002;TRT14;filtrado
2025-02-21;00154568020198160170;STJ;geral
2025-02-21;00004266820235140041;TRT14;filtrado
2025-02-21;08164669020238100029;TJMA;geral
2025-02-21;00007699020215200001;TRT20;filtrado
2025-02-21;00001720320245120046;TST;geral
2025-02-21;00002790820245140041;TRT14;filtrado
2025-02-21;00008318620105200011;TRT20;geral
2025-02-21;00518827020253000000;STJ;geral
2025-02-21;00004037220245140111;TRT14;filtrado
2025-02-21;02913035420233000000;STJ;geral
2025-02-21;00477523720253000000;STJ;geral
2025-02-21;00004645120215140041;TRT14;filtrado
2025-02-21;00500110520253000000;STJ;geral
2025-02-21;00004807820245140403;TRT14;filtrado
2025-02-21;00112347220245030181;TRT3;geral
2025-02-21;00029394320248173370;TJPE;geral
2025-02-21;00021242320088260180;STJ;geral
2025-02-21;00004907820235140041;TRT14;filtrado
2025-02-21;80641624720238050000;TJBA;geral
2025-02-21;08045443920238100001;TJMA;geral
2025-02-21;00101943120253000000;STJ;geral
2025-02-21;00005106020235140141;TRT14;filtrado
2025-02-21;00132662620253000000;STJ;geral
2025-02-21;00005226320245140004;TRT14;filtrado
2025-02-21;00002881720235200015;TRT20;filtrado
2025-02-21;08010014220198205125;TJRN;geral
2025-02-21;00002246120245110002;TRT11;filtrado
2025-02-21;50117953720248080014;TJES;geral
2025-02-21;00000670320108100117;TJMA;geral
2025-02-21;04783755320243000000;STJ;geral
2025-02-21;80057497220228050001;TJBA;geral
2025-02-21;00112770220195150132;TRT15;geral
2025-02-21;02448361720233000000;STJ;geral
2025-02-21;00005344720245140402;TRT14;filtrado
2025-02-21;00006145020245140001;TRT14;filtrado
2025-02-21;08171370320238100001;TJMA;geral
2025-02-21;08009040820248205112;TJRN;geral
2025-02-21;00804983120203000000;STJ;geral
2025-02-21;08074412820218100060;TJMA;geral
2025-02-21;00491441220253000000;STJ;geral
2025-02-21;00006195420245140007;TRT14;filtrado
2025-02-21;08000524620238100084;TJMA;geral
2025-02-21;08018109520248205112;TJRN;geral
2025-02-21;00018815520238260115;STJ;geral
2025-02-21;08006863820218140072;TJPA;filtrado
2025-02-21;00006294220225140404;TRT14;filtrado
2025-02-21;00011909720245110010;TRT11;geral
2025-02-21;00010021520188260603;STJ;geral
2025-02-21;08010583020198100084;TJMA;geral
2025-02-21;08030165420228140013;TJPA;filtrado
2025-02-21;08001028620258150141;TJPB;geral
2025-02-21;00004603120255210024;TRT21;geral
2025-02-21;04846813820243000000;STJ;geral
2025-02-21;03004096220188240054;TJSC;geral
2025-02-21;00052464420188140401;TJPA;filtrado
2025-02-21;00004569120255210024;TRT21;geral
2025-02-21;00114824120208140401;STJ;geral
2025-02-21;50017409020258080014;TJES;geral
2025-02-21;00113404520145010244;TRT1;geral
2025-02-21;00004508420255210024;TRT21;geral
2025-02-21;00050749220208272722;STJ;geral
2025-02-21;15026555720238260132;STJ;geral
2025-02-21;00006326820245140002;TRT14;filtrado
2025-02-21;00004542420255210024;TRT21;geral
2025-02-21;23685925220248260000;STJ;geral
2025-02-21;10018341320225020311;TRT2;geral
2025-02-21;00029884820168140040;TJPA;filtrado
2025-02-21;00009741720245200001;TRT20;geral
2025-02-21;04223667120243000000;STJ;geral
2025-02-21;50116509120228080000;TJES;geral
2025-02-21;80056538920248050000;TJBA;filtrado
2025-02-21;02556834420243000000;STJ;geral
2025-02-21;00006915920245140001;TRT14;filtrado
2025-02-21;04655966620243000000;STJ;geral
2025-02-21;08032571020238150031;TJPB;geral
2025-02-21;00482547320253000000;STJ;geral
2025-02-21;00007211320235140007;TRT14;filtrado
2025-02-21;08594631220228100001;TJMA;geral
2025-02-21;00034648320128200000;TJRN;geral
2025-02-21;15245094720228260228;STJ;geral
2025-02-21;08015875020228205133;TJRN;geral
2025-02-21;08623800920248152001;TJPB;geral
2025-02-21;08032285720248140061;TJPA;geral
2025-02-21;00012842120228260536;STJ;geral
2025-02-21;00022229420178140125;STJ;geral
2025-02-21;00007347220245140008;TRT14;filtrado
2025-02-21;00004882820245110051;TRT11;filtrado
2025-02-21;07040601820248010070;TJAC;geral
2025-02-21;80050464220258050000;TJBA;geral
2025-02-21;80010722320228050090;TJBA;filtrado
2025-02-21;00004071520188120018;STJ;geral
2025-02-21;10003556120225020706;TRT2;geral
2025-02-21;00115321720225150079;TRT15;geral
2025-02-21;04409829420243000000;STJ;geral
2025-02-21;00007809820235140007;TRT14;filtrado
2025-02-21;08009547320198230020;TJRR;geral
2025-02-21;00168468520168170001;STJ;geral
2025-02-21;08001276520238100026;TJMA;geral
2025-02-21;00111712320253000000;STJ;geral
2025-02-21;00009568920235140003;TRT14;filtrado
2025-02-21;00005154920245110006;TRT11;filtrado
2025-02-21;07040689220248010070;TJAC;geral
2025-02-21;02427971320243000000;STJ;geral
2025-02-21;00001244320228080024;TJES;geral
2025-02-21;10013944920155020606;TRT2;geral
2025-02-21;04836196020243000000;STJ;geral
2025-02-21;00010495220235140003;TRT14;filtrado
2025-02-21;00104841020124058300;STJ;geral
2025-02-21;00007924620225140008;TRT14;filtrado
2025-02-21;80029360720248050000;TJBA;filtrado
2025-02-21;08933971720228205001;TJRN;geral
2025-02-21;00007415020198140053;TJPA;filtrado
2025-02-21;00488210720253000000;STJ;geral
2025-02-21;00010658820235140008;TRT14;filtrado
2025-02-21;00003445320245110019;TRT11;filtrado
2025-02-21;03386141520138090100;STJ;geral
2025-02-21;00003130320245140002;TRT14;filtrado
2025-02-21;08405212920228100001;TJMA;geral
2025-02-21;02598189219978130024;STJ;geral
2025-02-21;00128562520218172810;TJPE;geral
2025-02-21;00007571120245210012;TRT21;geral
2025-02-21;00517285220253000000;STJ;geral
2025-02-21;08019176620198140009;TJPA;geral
2025-02-21;00488939120253000000;STJ;geral
2025-02-21;00006905620245140007;TRT14;filtrado
2025-02-21;08021374020248205112;TJRN;geral
2025-02-21;04887545320243000000;STJ;geral
2025-02-21;00004960720245110018;TRT11;filtrado
2025-02-21;04864940320243000000;STJ;geral
2025-02-21;00006740820245140006;TRT14;filtrado
2025-02-21;04259825420243000000;STJ;geral
2025-02-21;80289482920228050000;TJBA;geral
2025-02-21;90023098220248230000;TJRR;geral
2025-02-21;08177386420248140000;TJPA;filtrado
2025-02-21;04888905020243000000;STJ;geral
2025-02-21;80018697320238050248;TJBA;filtrado
2025-02-21;08023326620258140000;TJPA;geral
2025-02-21;15003079320238260608;STJ;geral
2025-02-21;00006103420245140091;TRT14;filtrado
2025-02-21;00012901920145110005;TRT11;filtrado
2025-02-21;08059567520238190026;TJRJ;geral
2025-02-21;08036678620228140401;TJPA;filtrado
2025-02-21;00148938020248272700;STJ;geral
2025-02-21;05026830820188050001;TJBA;geral
2025-02-21;00471453320248179000;TJPE;geral
2025-02-21;54514220920248090158;STJ;geral
2025-02-21;00006087120225210016;TRT21;geral
2025-02-21;01004593220215010483;TRT1;geral
2025-02-21;80086450920238050113;TJBA;geral
2025-02-21;08246543520248230010;TJRR;geral
2025-02-21;00120175720235150022;TRT15;geral
2025-02-21;00199865220238179000;TJPE;geral
2025-02-21;08589608820228100001;TJMA;geral
2025-02-21;04740901720243000000;STJ;geral
2025-02-21;00008733720235140403;TRT14;filtrado
2025-02-21;00006974420245220001;TRT22;filtrado
2025-02-21;10027327620174013200;TRF1;geral
2025-02-21;00000244119948050190;TJBA;geral
2025-02-21;90026926020248230000;TJRR;geral
2025-02-21;08129182420238100040;TJMA;geral
2025-02-21;51374215120248090107;STJ;geral
2025-02-21;00002973620245210008;TRT21;filtrado
2025-02-21;00010168620235140092;TRT14;filtrado
2025-02-21;06891943920218040001;TJAM;geral
2025-02-21;00112666820235150055;TRT15;geral
2025-02-21;90016239020248230000;TJRR;geral
2025-02-21;00111246320235150023;TRT15;geral
2025-02-21;00029958820148180140;STJ;geral
2025-02-21;00003077120245220002;TRT22;filtrado
2025-02-21;03244690320158240023;TJSC;geral
2025-02-21;00120937820225150002;TRT15;geral
2025-02-21;07136240320238070001;TJDFT;geral
2025-02-21;00051283820098140028;TJPA;geral
2025-02-21;00010401720235140092;TRT14;filtrado
2025-02-21;00113642520225150011;TRT15;geral
2025-02-21;08035581020238100026;TJMA;geral
2025-02-21;08386168720188140301;TJPA;geral
2025-02-21;00301808020208160000;STJ;geral
2025-02-21;00005683620245220002;TRT22;filtrado
2025-02-21;00117419220235150097;TRT15;geral
2025-02-21;00010150420235140092;TRT14;filtrado
2025-02-21;08434037120168100001;TJMA;geral
2025-02-21;00849739320213000000;STJ;geral
2025-02-21;00008527420245210001;TRT21;filtrado
2025-02-21;00117337420225150122;TRT15;geral
